pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_spectype,st_teff,st_rad,st_mass,sy_dist,snr_value,can_separate,in_habitable_zone,suitable_radius,suitable_mass,suitable_temp,potential_magnetic_field,is_habitable,sy_gaiamag
HAT-P-26 b,HAT-P-26,1,1,Transit,2010,4.23452,0.0479,7.062,22.2481,1001.0,K1,5079.0,0.87,1.12,141.837,8177.938326887321,True,False,False,False,False,,,11.4641
HAT-P-27 b,HAT-P-27,2,1,Transit,2011,3.039577,0.04,11.43,197.05,1092.0,G8,5316.0,0.86,0.92,199.173,15223.287553118458,True,False,False,False,False,,,11.9562
HAT-P-28 b,HAT-P-28,1,1,Transit,2011,3.257215,0.0434,13.585,198.953,1384.0,G3,5680.0,1.1,1.03,401.319,7361.151465027289,False,False,False,False,False,,,12.8718
HAT-P-29 b,HAT-P-29,2,1,Transit,2011,5.72319,0.0667,13.115,279.6904,1271.0,F8,6087.0,1.3,1.45,313.576,6644.862440965237,False,False,False,False,False,,,11.7336
HAT-P-3 b,HAT-P-3,2,1,Transit,2007,2.8997,0.03866,10.536,206.5895,1189.0,K,5185.0,0.87,1.06,134.554,31050.82216273916,True,False,False,False,False,,,11.2795
HAT-P-30 b,HAT-P-30,2,1,Transit,2011,2.8106,0.0419,16.141,263.7989,1630.0,F7,6304.0,1.31,1.55,213.985,55617.153557496684,True,False,False,False,False,,,10.2998
HAT-P-31 b,HAT-P-31,1,1,Transit,2011,5.00542,0.061,12.218,721.4741,1450.0,,6065.0,1.39,1.31,344.05,6548.277081510649,False,False,False,False,False,,,11.4501
HAT-P-32 b,HAT-P-32,2,1,Transit,2011,2.1500082,0.03397,22.194,216.1244,1836.0,,6001.0,1.37,1.13,289.205,95787.6700935303,True,False,False,False,False,,,11.1335
HAT-P-33 b,HAT-P-33,2,1,Transit,2011,3.47447,0.04995,20.737,292.4036,1782.0,F4,6446.0,1.79,1.82,396.11,35196.162901694915,False,False,False,False,False,,,11.0238
HAT-P-34 b,HAT-P-34,1,1,Transit,2011,5.452654,0.06774,13.417,1058.3739,1520.0,,6442.0,1.53,1.39,249.325,14773.10080079365,False,False,False,False,False,,,10.1944
HAT-P-35 b,HAT-P-35,3,1,Transit,2011,3.646706,0.04978,14.93,335.62848,1581.0,,6096.0,1.44,1.24,506.965,7257.36323432112,False,False,False,False,False,,,12.2802
HAT-P-36 b,HAT-P-36,1,1,Transit,2011,1.32734683,0.0241,14.314,587.41341,1781.0,G5 V,5620.0,1.04,1.03,294.419,44017.25469796087,True,False,False,False,False,,,12.093
HAT-P-37 b,HAT-P-37,1,1,Transit,2011,2.797436,0.0379,13.204,371.528,1271.0,,5500.0,0.88,0.93,390.594,6160.937743583657,True,False,False,False,False,,,13.2615
HAT-P-38 b,HAT-P-38,1,1,Transit,2012,4.640382,0.0523,9.247,84.857,1082.0,G5,5330.0,0.92,0.89,255.206,4062.4893080890124,True,False,False,False,False,,,12.3021
HAT-P-39 b,HAT-P-39,2,1,Transit,2012,3.54387,0.0509,17.609,190.372,1752.0,,6430.0,1.62,1.4,697.004,6465.368908709916,False,False,False,False,False,,,12.2269
HAT-P-4 b,HAT-P-4,2,1,Transit,2007,3.056536,0.04438,14.28,213.255,1686.0,F,5860.0,1.62,0.56,320.451,26459.92359580357,True,False,False,False,False,,,11.0634
HAT-P-40 b,HAT-P-40,1,1,Transit,2012,4.45724,0.0608,17.038,152.5584,1770.0,,6080.0,1.94,1.03,464.469,13699.984085747205,False,False,False,False,False,,,11.4162
HAT-P-41 b,HAT-P-41,2,1,Transit,2012,2.69405,0.04258,22.978,378.2177,1941.0,,6390.0,2.05,2.56,348.185,100948.7029018086,True,False,False,False,False,,,10.939
HAT-P-42 b,HAT-P-42,1,1,Transit,2012,4.641878,0.0575,14.348,331.801,1428.0,,5743.0,1.53,1.18,405.238,8875.842388291912,False,False,False,False,False,,,12.0031
HAT-P-43 b,HAT-P-43,1,1,Transit,2012,3.3326414,0.0444,13.63,210.395,1353.0,F9,5693.0,1.08,1.03,528.825,3930.5138077646243,False,False,False,False,False,,,13.2165
HAT-P-44 b,HAT-P-44,1,2,Transit,2014,4.301219,0.0507,13.922,111.871,1108.0,,5295.0,0.95,0.94,347.85,5624.067641572071,False,False,False,False,False,,,12.9729
HAT-P-44 c,HAT-P-44,1,2,Radial Velocity,2014,872.2,1.752,13.0,1271.3,,,5295.0,0.95,0.94,347.85,4.1065933178165235,False,False,False,False,,,,12.9729
HAT-P-45 b,HAT-P-45,1,1,Transit,2014,3.128992,0.0452,15.984,283.492,1652.0,,6330.0,1.32,1.26,298.64,24431.266479350776,True,False,False,False,False,,,12.3977
HAT-P-46 b,HAT-P-46,1,1,Transit,2014,4.463129,0.0577,14.392,156.684,1458.0,,6120.0,1.4,1.28,290.736,14426.106155182251,False,False,False,False,False,,,11.6843
HAT-P-49 b,HAT-P-49,1,1,Transit,2014,2.69155,0.04378,17.822,699.226,2131.0,F,6820.0,2.06,2.22,350.351,57291.353442415166,False,False,False,False,False,,,10.2071
HAT-P-5 b,HAT-P-5,1,1,Transit,2007,2.78849,0.04073,13.563,311.4734,1539.0,G,5960.0,1.12,1.04,303.336,15117.181855888814,True,False,False,False,False,,,11.8224
HAT-P-50 b,HAT-P-50,1,1,Transit,2015,3.1220109,0.0453,14.437,429.0705,1862.0,F5,6280.0,1.7,1.27,515.458,11047.621409325637,False,False,False,False,False,,,11.6722
HAT-P-51 b,HAT-P-51,1,1,Transit,2015,4.21802091,0.05042,13.507,97.57332,1168.0,G7,5453.0,0.99,0.96,440.089,3631.629031137838,False,False,False,False,False,,,13.2846
